words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean
族群,21,5.0,148.42857142857142,0.0,10.619047619047619,0.0,9.619047619047619
既然,26,15.0,77.76923076923077,0.0,15.5,0.0,5.038461538461538
日子,89,12.0,77.43820224719101,1.0,7.887640449438202,0.0,1.247191011235955
日常,261,3.0,40.37931034482759,0.0,4.340996168582375,0.0,0.7279693486590039
日日,22,4.5,116.18181818181819,1.0,5.636363636363637,0.0,1.3636363636363635
日期,30,7.5,39.53333333333333,1.0,3.433333333333333,0.0,2.5
日本,65,16.0,85.63076923076923,1.0,7.938461538461539,0.0,1.1692307692307693
日記,229,12.0,36.414847161572055,2.0,9.781659388646288,0.0,0.28820960698689957
早上,101,16.0,133.9009900990099,1.0,5.544554455445544,0.0,1.3267326732673268
早安,101,24.0,37.0990099009901,15.0,30.663366336633665,0.0,0.6336633663366337
早就,48,14.0,172.54166666666666,1.0,8.6875,0.0,1.1875
早晨,12,18.0,21.75,0.0,7.416666666666667,0.0,0.16666666666666666
早起,14,29.5,34.642857142857146,2.5,4.428571428571429,0.0,0.42857142857142855
早餐,74,17.0,91.66216216216216,0.0,8.878378378378379,0.0,4.027027027027027
旺季,11,39.0,31.636363636363637,0.0,0.45454545454545453,2.0,1.1818181818181819
明天,213,15.0,148.7793427230047,2.0,11.990610328638498,0.0,5.887323943661972
明年,47,18.0,114.29787234042553,2.0,21.29787234042553,0.0,7.297872340425532
明明,79,12.0,470.7848101265823,1.0,11.278481012658228,0.0,10.531645569620252
明星,13,52.0,244.15384615384616,0.0,22.846153846153847,0.0,4.3076923076923075
明會,25,3.0,3.12,0.0,0.6,0.0,0.0
明白,47,7.0,59.0,0.0,2.5319148936170213,0.0,1.3191489361702127
明確,39,7.0,50.23076923076923,0.0,2.871794871794872,0.0,3.282051282051282
明顯,39,3.0,64.35897435897436,0.0,2.3333333333333335,0.0,3.5384615384615383
星星,10,3.0,24.2,0.5,0.8,0.0,1.0
昨天,146,14.0,195.2876712328767,1.0,10.034246575342467,0.0,6.684931506849315
昨天晚上,11,30.0,23.0,2.0,2.6363636363636362,0.0,0.2727272727272727
昨晚,23,23.0,325.0869565217391,7.0,25.782608695652176,0.0,9.217391304347826
是否,110,11.5,25.145454545454545,1.0,3.2454545454545456,0.0,1.1363636363636365
時代,91,5.0,70.5934065934066,0.0,3.5164835164835164,0.0,2.3516483516483517
