words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean,distinct_creators,frequency,quadrant
台南人,19,1.0,1.1578947368421053,0.0,0.21052631578947367,0.0,0.0,1,19,Red Ocean (紅海詞)
台灣,23,4.0,25.043478260869566,0.0,15.521739130434783,0.0,0.43478260869565216,13,23,Star (明星詞)
各位,24,10.5,18.75,18.0,31.541666666666668,0.0,0.08333333333333333,8,24,Star (明星詞)
合作,14,6.5,20.0,1.0,4.5,0.0,0.42857142857142855,7,14,Blue Ocean (藍海詞)
同事,10,16.5,53.4,1.5,3.1,0.0,1.0,4,10,Blue Ocean (藍海詞)
吸引,11,2.0,2.727272727272727,0.0,1.0,0.0,0.09090909090909091,5,11,Blue Ocean (藍海詞)
告知,34,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,2,34,Red Ocean (紅海詞)
告訴,10,4.0,57.8,0.0,1.0,0.0,0.4,6,10,Blue Ocean (藍海詞)
咖啡,10,2.0,3.7,0.0,0.6,0.0,0.6,5,10,Blue Ocean (藍海詞)
品牌,123,2.0,5.699186991869919,0.0,1.016260162601626,0.0,0.12195121951219512,10,123,Star (明星詞)
哈嚕,16,0.0,4.875,0.0,10.4375,0.0,0.1875,1,16,Red Ocean (紅海詞)
哪些,16,3.0,25.9375,3.0,16.25,0.0,0.4375,10,16,Star (明星詞)
哪裡,21,1.0,10.476190476190476,1.0,8.333333333333334,0.0,0.0,7,21,Red Ocean (紅海詞)
商品,84,0.0,10.916666666666666,0.0,16.952380952380953,0.0,0.5,10,84,Red Ocean (紅海詞)
喜歡,54,4.0,14.222222222222221,0.0,2.462962962962963,0.0,0.24074074074074073,16,54,Star (明星詞)
單一顏色,12,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1,12,Avoid (避開)
單位,12,1.0,2.3333333333333335,0.0,0.4166666666666667,0.0,0.0,3,12,Avoid (避開)
固態,16,0.5,0.75,0.0,0.0,0.0,0.375,1,16,Red Ocean (紅海詞)
圖案,10,0.0,5.4,0.0,0.4,0.0,0.1,3,10,Avoid (避開)
團隊,11,2.0,2.090909090909091,0.0,0.18181818181818182,0.0,0.0,5,11,Blue Ocean (藍海詞)
執行,13,1.0,8.615384615384615,0.0,5.0,0.0,0.07692307692307693,4,13,Avoid (避開)
堅持,26,5.5,12.846153846153847,0.5,8.884615384615385,0.0,0.23076923076923078,13,26,Star (明星詞)
增加,12,6.0,23.333333333333332,4.0,7.166666666666667,0.0,0.5,8,12,Blue Ocean (藍海詞)
增加收入,23,1.0,1.173913043478261,0.0,0.17391304347826086,0.0,0.0,1,23,Red Ocean (紅海詞)
壓力,12,3.0,9.0,0.5,2.0833333333333335,0.0,0.08333333333333333,8,12,Blue Ocean (藍海詞)
外出,19,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,1,19,Red Ocean (紅海詞)
外套,19,1.0,6.2105263157894735,0.0,0.47368421052631576,0.0,0.05263157894736842,5,19,Red Ocean (紅海詞)
夥伴,18,2.0,5.611111111111111,0.0,1.5555555555555556,0.0,0.1111111111111111,5,18,Star (明星詞)
大樓,10,81.5,70.6,174.0,165.7,5.0,4.2,2,10,Blue Ocean (藍海詞)
天不等,33,0.0,0.12121212121212122,0.0,0.0,0.0,0.0,1,33,Red Ocean (紅海詞)
套裝,37,0.0,0.08108108108108109,0.0,0.0,0.0,0.0,2,37,Red Ocean (紅海詞)
女友,24,1.0,1.2916666666666667,0.0,0.8333333333333334,0.0,0.041666666666666664,1,24,Red Ocean (紅海詞)
女孩,16,1.0,4.6875,0.0,0.125,0.0,0.1875,5,16,Red Ocean (紅海詞)
女童,16,0.0,0.375,0.0,0.0,0.0,0.0,1,16,Red Ocean (紅海詞)
好吃,16,4.5,4.5,1.0,1.625,0.0,0.0,5,16,Star (明星詞)
好好,15,4.0,6.266666666666667,0.0,0.8666666666666667,0.0,0.13333333333333333,10,15,Blue Ocean (藍海詞)
好看,35,0.0,9.771428571428572,0.0,0.4857142857142857,0.0,0.2857142857142857,9,35,Red Ocean (紅海詞)
媒合,12,6.0,8.666666666666666,0.5,0.75,0.0,0.0,2,12,Blue Ocean (藍海詞)
媽咪們,10,24.0,24.3,35.0,35.0,0.0,0.1,1,10,Blue Ocean (藍海詞)
存在,11,2.0,5.636363636363637,0.0,4.0,0.0,0.09090909090909091,6,11,Blue Ocean (藍海詞)
學習,15,4.0,9.066666666666666,0.0,5.066666666666666,0.0,0.26666666666666666,7,15,Blue Ocean (藍海詞)
學費,10,1.0,3.4,0.0,0.0,0.0,0.0,4,10,Avoid (避開)
宇宙,10,3.0,3.8,0.0,0.7,0.0,0.1,3,10,Blue Ocean (藍海詞)
完成,31,0.0,2.3870967741935485,0.0,1.032258064516129,0.0,0.03225806451612903,10,31,Red Ocean (紅海詞)
官方,13,1.0,6.3076923076923075,0.0,1.9230769230769231,0.0,0.15384615384615385,5,13,Avoid (避開)
定下,14,19.0,20.785714285714285,32.0,28.071428571428573,0.0,0.07142857142857142,1,14,Blue Ocean (藍海詞)
定位,26,2.0,2.4615384615384617,0.0,0.8076923076923077,0.0,0.07692307692307693,5,26,Star (明星詞)
客人,39,5.0,11.102564102564102,1.0,1.8461538461538463,0.0,0.1282051282051282,9,39,Star (明星詞)
客戶,36,2.0,10.083333333333334,0.0,1.9444444444444444,0.0,0.16666666666666666,8,36,Star (明星詞)
容易,17,4.0,33.88235294117647,0.0,0.5294117647058824,0.0,1.1764705882352942,9,17,Star (明星詞)
寶寶穿,15,0.0,2.066666666666667,0.0,0.26666666666666666,0.0,0.0,2,15,Avoid (避開)
專業,30,3.0,4.1,0.0,1.1333333333333333,0.0,0.26666666666666666,10,30,Star (明星詞)
專注,10,3.0,9.3,0.0,0.7,0.0,0.1,7,10,Blue Ocean (藍海詞)
尋找,16,2.0,22.25,0.0,2.5625,0.0,1.4375,5,16,Star (明星詞)
尋找屬,14,0.0,0.5,0.0,0.6428571428571429,0.0,0.21428571428571427,1,14,Avoid (避開)
小小,17,16.0,19.764705882352942,30.0,23.235294117647058,0.0,0.058823529411764705,4,17,Star (明星詞)
小時,12,2.5,3.6666666666666665,0.0,2.9166666666666665,0.0,0.0,9,12,Blue Ocean (藍海詞)
小朋友,14,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,3,14,Avoid (避開)
小熊,11,0.0,0.7272727272727273,0.0,0.36363636363636365,0.0,0.0,3,11,Avoid (避開)
小編,10,21.0,32.6,0.0,12.3,0.0,0.2,5,10,Blue Ocean (藍海詞)
就算,19,1.0,3.0,0.0,1.4736842105263157,0.0,0.15789473684210525,5,19,Red Ocean (紅海詞)
尺寸,113,0.0,0.1592920353982301,0.0,0.0,0.0,0.0,3,113,Red Ocean (紅海詞)
