words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean,distinct_creators
政府,71,0.0,1.7183098591549295,0.0,0.6619718309859155,0.0,0.11267605633802817,4
故事,26,4.0,42.5,0.0,12.576923076923077,0.0,0.4230769230769231,12
效果,16,7.5,10.4375,0.0,0.5625,0.0,0.3125,8
教學,18,19.0,21.944444444444443,2.0,4.5,0.0,0.6666666666666666,5
教育,11,20.0,21.272727272727273,1.0,2.5454545454545454,0.0,0.5454545454545454,5
整個,37,11.0,23.027027027027028,1.0,3.6486486486486487,0.0,0.3783783783783784,17
整合,18,1.0,5.666666666666667,0.0,0.6111111111111112,0.0,0.0,5
整理,37,13.0,41.37837837837838,1.0,3.2432432432432434,0.0,1.135135135135135,15
數位,13,6.0,9.461538461538462,0.0,0.6923076923076923,0.0,0.07692307692307693,6
數據,21,10.0,18.761904761904763,0.0,1.5714285714285714,0.0,2.2857142857142856,8
數量,14,24.0,32.92857142857143,0.5,4.142857142857143,0.0,0.35714285714285715,8
文創,13,0.0,3.6923076923076925,0.0,0.3076923076923077,0.0,0.8461538461538461,2
文字,17,20.0,24.529411764705884,1.0,2.176470588235294,0.0,0.47058823529411764,9
文案,27,22.0,114.37037037037037,2.0,4.0,1.0,5.481481481481482,11
斜槓,35,27.0,51.08571428571429,8.0,37.42857142857143,0.0,0.45714285714285713,4
新品,16,44.0,60.125,1.5,5.75,1.5,3.5,7
新年,21,15.0,18.761904761904763,3.0,9.047619047619047,0.0,0.42857142857142855,12
新手,11,21.0,18.09090909090909,1.0,2.272727272727273,0.0,0.7272727272727273,6
方便,22,12.5,31.454545454545453,0.0,3.3636363636363638,0.0,0.5909090909090909,8
方向,39,19.0,38.333333333333336,1.0,4.769230769230769,0.0,0.9230769230769231,13
方案,12,16.5,83.0,3.5,8.25,0.0,5.416666666666667,8
方法,39,19.0,41.717948717948715,2.0,4.153846153846154,0.0,0.8974358974358975,15
旁邊,10,21.5,39.8,0.5,1.6,0.0,0.2,7
旅行,11,18.0,44.27272727272727,2.0,3.6363636363636362,0.0,1.9090909090909092,7
旅遊,12,32.0,42.75,2.0,4.75,0.0,1.3333333333333333,7
日子,21,13.0,25.714285714285715,1.0,6.0476190476190474,0.0,0.42857142857142855,11
日常,19,9.0,32.89473684210526,1.0,8.210526315789474,0.0,0.42105263157894735,11
日本,13,23.0,28.76923076923077,3.0,2.3846153846153846,0.0,1.1538461538461537,10
日記,39,9.0,20.46153846153846,4.0,8.564102564102564,0.0,0.1794871794871795,6
早上,24,15.5,17.625,1.0,4.25,0.0,0.4166666666666667,12
早安,17,53.0,53.11764705882353,44.0,44.470588235294116,1.0,1.3529411764705883,5
早就,10,17.0,40.1,2.5,7.2,0.0,0.6,9
早餐,19,17.0,19.157894736842106,3.0,15.31578947368421,0.0,0.21052631578947367,8
明天,46,24.0,70.73913043478261,3.5,24.195652173913043,0.0,1.3478260869565217,20
明年,15,19.0,63.13333333333333,4.0,8.466666666666667,0.0,0.06666666666666667,9
明明,23,9.0,24.26086956521739,1.0,2.9130434782608696,0.0,2.0,11
明顯,10,9.0,28.8,0.0,1.2,0.0,0.8,6
昨天,39,19.0,34.43589743589744,2.0,5.538461538461538,0.0,0.38461538461538464,17
時代,21,6.0,6.571428571428571,1.0,2.0476190476190474,0.0,0.09523809523809523,10
時刻,17,22.0,58.23529411764706,2.0,7.647058823529412,0.0,0.5294117647058824,8
晚上,37,21.0,35.78378378378378,3.0,9.783783783783784,0.0,0.8378378378378378,15
智慧,22,0.0,19.272727272727273,0.0,1.6818181818181819,0.0,0.18181818181818182,3
曝光,33,9.0,23.90909090909091,0.0,26.181818181818183,0.0,0.6060606060606061,14
更好,38,19.0,32.921052631578945,1.0,2.6052631578947367,0.0,0.42105263157894735,10
更新,20,12.5,16.4,0.0,2.2,0.0,0.35,10
曾經,13,7.0,47.84615384615385,0.0,4.384615384615385,0.0,0.46153846153846156,6
最大,27,15.0,19.74074074074074,1.0,4.962962962962963,0.0,0.07407407407407407,13
最好,22,18.5,79.0909090909091,1.5,6.954545454545454,0.0,1.8636363636363635,13
最高,31,1.0,29.580645161290324,0.0,6.032258064516129,0.0,0.22580645161290322,9
會回,28,9.0,12.214285714285714,5.5,10.035714285714286,0.0,0.03571428571428571,1
有些,47,4.0,24.595744680851062,0.0,3.0851063829787235,0.0,0.3191489361702128,17
有什麼,10,11.5,33.9,4.5,6.1,0.0,0.3,10
有感,14,11.5,22.714285714285715,1.0,3.5714285714285716,0.0,0.35714285714285715,11
有效,28,18.5,18.428571428571427,1.0,4.857142857142857,0.0,0.14285714285714285,10
有空,11,25.0,27.09090909090909,3.0,6.909090909090909,0.0,0.5454545454545454,7
有興趣,11,14.0,21.454545454545453,2.0,12.818181818181818,0.0,0.2727272727272727,8
有趣,23,15.0,52.78260869565217,1.0,3.608695652173913,0.0,2.608695652173913,14
有限,11,15.0,32.0,2.0,3.5454545454545454,0.0,0.36363636363636365,7
有點,36,24.5,85.0,2.0,6.444444444444445,0.0,2.361111111111111,17
朋友,150,19.5,49.46,2.0,12.24,0.0,1.26,24
服務,37,6.0,16.864864864864863,1.0,3.324324324324324,0.0,0.2702702702702703,17
期待,51,16.0,27.96078431372549,0.0,5.921568627450981,0.0,0.49019607843137253,18
未來,54,9.0,44.407407407407405,1.0,5.666666666666667,0.0,0.42592592592592593,20
本來,14,23.0,41.0,2.5,6.285714285714286,0.0,3.7142857142857144,10
本身,21,24.0,55.095238095238095,3.0,7.428571428571429,0.0,1.1904761904761905,13
材質,11,8.0,23.818181818181817,1.0,6.181818181818182,0.0,0.8181818181818182,7
果物,39,41.0,47.64102564102564,2.0,14.35897435897436,2.0,3.230769230769231,1
果醬,12,51.5,76.75,5.5,17.5,3.0,3.1666666666666665,1
某個,12,5.0,16.416666666666668,0.5,4.75,0.0,0.08333333333333333,7
核心,18,5.5,7.055555555555555,0.0,1.1666666666666667,0.0,0.5555555555555556,8
根本,26,11.5,33.11538461538461,1.0,1.8076923076923077,0.0,0.2692307692307692,13
框架,11,9.0,14.454545454545455,2.0,3.1818181818181817,0.0,0.0,4
案子,27,24.0,29.14814814814815,2.0,4.7407407407407405,0.0,2.3703703703703702,6
森蜜,53,51.0,56.0377358490566,6.0,18.943396226415093,2.0,3.7735849056603774,1
業務,10,23.0,90.1,7.0,14.7,1.0,0.9,6
業績,15,66.0,103.93333333333334,7.0,17.866666666666667,1.0,4.133333333333334,5
標準,11,14.0,26.90909090909091,1.0,3.4545454545454546,0.0,0.18181818181818182,4
模式,23,12.0,22.0,1.0,6.217391304347826,0.0,0.21739130434782608,10
樣子,24,20.5,165.20833333333334,3.5,13.458333333333334,0.0,2.7083333333333335,12
機器,11,11.0,73.45454545454545,0.0,7.363636363636363,0.0,1.9090909090909092,6
機會,63,11.0,26.238095238095237,1.0,3.888888888888889,0.0,0.30158730158730157,20
歡迎,60,25.5,51.95,4.0,39.733333333333334,0.5,1.3166666666666667,17
正式,13,24.0,123.6923076923077,4.0,31.615384615384617,0.0,19.23076923076923,9
每天,118,24.0,57.8728813559322,3.5,17.550847457627118,0.0,1.2542372881355932,25
每日,10,12.0,46.2,2.0,57.2,0.0,1.7,5
毛利,18,86.0,78.16666666666667,4.0,8.166666666666666,3.0,2.888888888888889,4
毛衣,11,101.0,148.0,10.0,9.636363636363637,2.0,2.5454545454545454,2
水果,26,61.0,180.84615384615384,7.0,10.923076923076923,4.0,8.73076923076923,6
水瓶,14,9.0,26.857142857142858,0.0,19.357142857142858,0.0,0.35714285714285715,1
永遠,20,10.0,20.15,1.0,7.35,0.0,0.05,11
決定,42,18.0,41.61904761904762,1.0,6.428571428571429,0.0,0.6666666666666666,16
沒人,19,13.0,36.578947368421055,0.0,5.421052631578948,1.0,0.7894736842105263,11
沒關,21,26.0,101.52380952380952,5.0,9.238095238095237,0.0,3.0476190476190474,15
油霜,15,25.0,29.666666666666668,4.0,4.0,0.0,0.0,1
注意,21,23.0,87.9047619047619,2.0,6.809523809523809,0.0,2.380952380952381,15
洗澡,10,23.0,157.0,4.0,9.4,0.0,1.0,4
活動,75,16.0,26.546666666666667,1.0,5.373333333333333,0.0,1.1333333333333333,19
活動通,11,1.0,1.6363636363636365,0.0,0.18181818181818182,0.0,0.0,2
流程,15,9.0,17.733333333333334,0.0,2.0,0.0,0.2,8
流量,91,23.0,39.15384615384615,4.0,21.032967032967033,0.0,1.1318681318681318,17
浪漫,10,26.0,45.7,2.0,4.4,0.5,5.6,5
浪費,14,11.5,17.928571428571427,1.5,2.2857142857142856,0.0,0.07142857142857142,7
消失,19,32.0,38.73684210526316,6.0,10.526315789473685,0.0,0.21052631578947367,9
消費,11,12.0,18.272727272727273,2.0,3.272727272727273,0.0,0.18181818181818182,3
消費者,26,22.0,61.65384615384615,1.5,3.769230769230769,0.0,2.730769230769231,8
清楚,40,22.0,50.6,1.0,3.775,0.0,1.525,13
減少,12,13.5,32.833333333333336,1.0,3.1666666666666665,0.0,0.6666666666666666,7
測試,22,9.5,28.636363636363637,0.0,1.4545454545454546,0.0,1.1818181818181819,6
湯匙,10,7.0,72.4,2.0,2.7,0.0,3.3,3
準備,54,16.5,48.166666666666664,2.0,6.833333333333333,0.0,0.8333333333333334,20
溫柔,23,3.0,7.217391304347826,0.0,0.4782608695652174,0.0,0.043478260869565216,4
滿滿,13,23.0,66.61538461538461,1.0,6.153846153846154,0.0,1.9230769230769231,9
滿足,12,20.0,75.25,3.0,6.833333333333333,0.0,0.8333333333333334,7
漂亮,17,6.0,25.176470588235293,0.0,2.9411764705882355,0.0,0.8235294117647058,7
演算法,15,10.0,10.733333333333333,0.0,2.7333333333333334,0.0,0.06666666666666667,7
演講,12,3.0,6.583333333333333,0.0,1.3333333333333333,0.0,0.25,3
漲粉,37,12.0,20.62162162162162,7.0,20.72972972972973,0.0,0.2972972972972973,5
烘焙,34,40.0,47.8235294117647,10.5,38.23529411764706,1.0,0.9705882352941176,2
無法,24,9.0,17.458333333333332,2.0,2.1666666666666665,0.0,1.125,10
無論,16,6.5,15.875,0.0,1.5,0.0,0.6875,10
焦慮,26,19.5,27.384615384615383,1.0,3.076923076923077,0.0,0.5384615384615384,11
照片,17,85.0,76.6470588235294,7.0,33.588235294117645,0.0,1.588235294117647,11
照顧,10,37.5,36.4,1.0,2.5,0.0,0.3,5
熱情,21,23.0,42.42857142857143,3.0,13.428571428571429,0.0,0.8095238095238095,9
燈箱,13,12.0,204.69230769230768,0.0,63.38461538461539,0.0,1.2307692307692308,2
燕麥,39,12.0,138.02564102564102,3.0,33.35897435897436,1.0,1.4871794871794872,1
營收,28,29.0,80.10714285714286,8.0,13.321428571428571,0.5,1.9285714285714286,6
營業,18,71.0,81.0,5.5,15.444444444444445,0.5,0.7777777777777778,6
