words,count,like_count_median,like_count_mean,reply_count_median,reply_count_mean,repost_count_median,repost_count_mean,distinct_creators
細節,20,2.0,6.65,0.0,0.65,0.0,0.05,7
結合,13,2.0,5.153846153846154,0.0,0.38461538461538464,0.0,0.15384615384615385,7
絕對,13,0.0,5.230769230769231,0.0,5.3076923076923075,0.0,0.0,5
經歷,15,7.0,26.933333333333334,1.0,7.533333333333333,0.0,0.0,8
經營,68,3.0,10.970588235294118,0.0,11.205882352941176,0.0,0.07352941176470588,11
經驗,17,3.0,9.823529411764707,0.0,2.7058823529411766,0.0,0.058823529411764705,7
網站,10,41.5,49.9,4.5,13.9,1.0,1.5,4
網路,12,5.5,36.416666666666664,0.5,3.6666666666666665,0.0,1.0,8
美容,19,4.0,5.157894736842105,1.0,2.6315789473684212,0.0,0.0,3
美業,26,1.0,8.923076923076923,0.0,14.884615384615385,0.0,0.038461538461538464,2
美甲,22,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,3
美甲店,11,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,1
老師,17,2.0,3.588235294117647,0.0,1.411764705882353,0.0,0.11764705882352941,9
耐心,34,0.0,5.176470588235294,0.0,0.7647058823529411,0.0,0.058823529411764705,2
聖誕,10,1.5,12.9,0.0,0.8,0.0,1.1,6
聖誕節,14,7.5,10.071428571428571,3.5,9.928571428571429,0.0,0.2857142857142857,6
職學習,17,4.0,5.117647058823529,1.0,2.8823529411764706,0.0,0.0,1
能力,29,2.0,7.137931034482759,0.0,1.2758620689655173,0.0,0.1724137931034483,8
能量,57,2.0,2.508771929824561,0.0,0.5614035087719298,0.0,0.2631578947368421,8
脆友,10,4.0,16.9,6.0,10.9,0.0,0.1,7
腦波,13,2.0,2.1538461538461537,1.0,1.0769230769230769,1.0,0.6153846153846154,1
自動,14,2.0,4.428571428571429,0.0,1.9285714285714286,0.0,0.35714285714285715,3
自動化,13,3.0,10.384615384615385,0.0,2.923076923076923,0.0,0.38461538461538464,2
自我,11,5.0,6.818181818181818,0.0,1.1818181818181819,0.0,0.2727272727272727,7
自然,14,2.0,4.214285714285714,0.0,0.7142857142857143,0.0,0.0,6
自由,16,1.0,4.4375,0.0,1.3125,0.0,0.0,8
舒服,21,1.0,2.1904761904761907,0.0,0.14285714285714285,0.0,0.047619047619047616,8
薪水,12,25.0,74.83333333333333,2.0,15.5,0.0,0.4166666666666667,3
蝴蝶,17,0.0,0.35294117647058826,0.0,0.0,0.0,0.0,2
行銷,155,2.0,15.038709677419355,0.0,4.161290322580645,0.0,0.25806451612903225,7
衣服,16,3.0,6.25,0.5,2.0625,0.0,0.125,6
要求,11,0.0,1.8181818181818181,1.0,1.0,0.0,0.0,3
規劃,17,3.0,10.764705882352942,0.0,2.411764705882353,0.0,0.23529411764705882,9
親膚,22,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,1
觀察,10,2.5,3.7,0.0,1.0,0.0,0.2,4
解密,21,1.0,1.0,0.0,0.0,0.0,0.0,1
解決,19,3.0,12.789473684210526,0.0,2.736842105263158,0.0,0.05263157894736842,7
解膠液,16,0.5,0.75,0.0,0.0,0.0,0.375,1
解釋,22,3.5,3.727272727272727,0.0,0.9090909090909091,0.0,0.0,5
訂單,62,7.0,10.64516129032258,2.0,4.419354838709677,0.0,0.08064516129032258,7
記得,14,1.5,3.5,0.0,1.4285714285714286,0.0,0.0,7
設計,69,0.0,5.260869565217392,0.0,1.2608695652173914,0.0,0.14492753623188406,9
評價,12,14.0,101.16666666666667,1.0,2.4166666666666665,0.0,1.25,4
詢問,10,3.0,5.0,0.0,1.9,0.0,0.2,5
認真,12,2.0,10.416666666666666,0.0,2.8333333333333335,0.0,0.16666666666666666,8
認真問,19,1.0,1.1578947368421053,0.0,0.21052631578947367,0.0,0.0,1
認識,15,12.0,23.733333333333334,3.0,19.066666666666666,0.0,0.13333333333333333,8
課程,25,2.0,3.8,0.0,0.4,0.0,0.0,8
調整,16,2.0,13.375,1.0,3.375,0.0,0.25,7
謝謝,16,6.0,14.75,2.0,7.0,0.0,0.5625,7
變成,10,3.0,10.4,0.0,12.4,0.0,0.0,8
變現,39,1.0,1.6923076923076923,0.0,0.20512820512820512,0.0,0.0,2
負責,12,19.0,36.166666666666664,5.5,11.583333333333334,0.0,0.3333333333333333,3
